Position,Company_Name,Job_Description,City,Province,Quota,Registered,Acceptance_Percentage,Registration_Start,Registration_End
"Pengelola Fasilitas Umum","RUMAH TAHANAN NEGARA KELAS IIB SAMPANG","1. Menyiapkan sarana pendukung kegiatan umum seperti ruang rapat, kendaraan, dan logistik.
2. Memantau penggunaan fasilitas agar efisien.
3. Mengatur perawatan rutin fasilitas umum.
4. Membantu kebutuhan operasional kantor.","KAB. SAMPANG","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Dokter","LEMBAGA PEMASYARAKATAN KELAS III ARJASA","1. Memberikan pelayanan kesehatan umum bagi
pegawai atau warga binaan.
2. Melakukan pemeriksaan, diagnosis, dan
pengobatan dasar.
3. Menyusun laporan kesehatan berkala.
4. Menangani kasus darurat medis di lingkungan
kerja.","KAB. SUMENEP","JAWA TIMUR",4,0,400,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Perawat","LEMBAGA PEMASYARAKATAN KELAS III ARJASA","1. Memberikan perawatan medis dasar bagi
pegawai dan warga binaan.
2. Membantu dokter dalam tindakan medis
3. Melakukan pencatatan dan pelaporan kondisi
pasien
4. Menjaga kebersihan serta kesiapan ruang
perawatan.","KAB. SUMENEP","JAWA TIMUR",4,0,400,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Psikolog","LEMBAGA PEMASYARAKATAN KELAS III ARJASA","1. Melaksanakan asesmen psikologis
2. Memberikan konseling dan rekomendasi
psikologis sesuai kebutuhan satuan kerja
3. Menyusun laporan hasil asesmen dan
rekomendasi psikologis secara professional
4. Membantu dalam kegiatan pengembangan
SDM dan peningkatan kesejahteraan mental
pegawai.
5. Melakukan observasi dan evaluasi terhadap
kondisi psikologis lingkungan kerja.","KAB. SUMENEP","JAWA TIMUR",4,0,400,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Psikiater","LEMBAGA PEMASYARAKATAN KELAS III ARJASA","1. Menangani gangguan kesehatan jiwa warga
binaan atau pegawai.
2. Melakukan asesmen psikologis dan terapi.
3. Menyusun laporan perkembangan pasien.
4. Memberikan rekomendasi tindak lanjut
pemulihan.","KAB. SUMENEP","JAWA TIMUR",4,0,400,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","LEMBAGA PEMASYARAKATAN KELAS III ARJASA","1. Menyusun dan melaksanakan program
pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi dan
pengendalian diri
3. Melakukan evaluasi hasil pembinaan
kepribadian.
4. Menyusun laporan perkembangan individu.","KAB. SUMENEP","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","LEMBAGA PEMASYARAKATAN KELAS III ARJASA","1. Menyusun dan melaksanakan program
pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi dan
pengendalian diri
3. Melakukan evaluasi hasil pembinaan
kepribadian.
4. Menyusun laporan perkembangan individu.","KAB. SUMENEP","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","LEMBAGA PEMASYARAKATAN KELAS III ARJASA","1. Menyusun dan melaksanakan program
pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi dan
pengendalian diri
3. Melakukan evaluasi hasil pembinaan
kepribadian.
4. Menyusun laporan perkembangan individu.","KAB. SUMENEP","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","LEMBAGA PEMASYARAKATAN KELAS III ARJASA","1. Menyusun dan melaksanakan program
pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi dan
pengendalian diri
3. Melakukan evaluasi hasil pembinaan
kepribadian.
4. Menyusun laporan perkembangan individu.","KAB. SUMENEP","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","LEMBAGA PEMASYARAKATAN KELAS III ARJASA","1. Menyusun dan melaksanakan program
pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi dan
pengendalian diri
3. Melakukan evaluasi hasil pembinaan
kepribadian.
4. Menyusun laporan perkembangan individu.","KAB. SUMENEP","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","LEMBAGA PEMASYARAKATAN KELAS III ARJASA","1. Menyusun dan melaksanakan program
pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi dan
pengendalian diri
3. Melakukan evaluasi hasil pembinaan
kepribadian.
4. Menyusun laporan perkembangan individu.","KAB. SUMENEP","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","LEMBAGA PEMASYARAKATAN KELAS III ARJASA","1. Menyusun dan melaksanakan program
pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi dan
pengendalian diri
3. Melakukan evaluasi hasil pembinaan
kepribadian.
4. Menyusun laporan perkembangan individu.","KAB. SUMENEP","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","LEMBAGA PEMASYARAKATAN KELAS III ARJASA","1. Menyusun dan melaksanakan program
pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi dan
pengendalian diri
3. Melakukan evaluasi hasil pembinaan
kepribadian.
4. Menyusun laporan perkembangan individu.","KAB. SUMENEP","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","LEMBAGA PEMASYARAKATAN KELAS III ARJASA","1. Menyusun dan melaksanakan program
pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi dan
pengendalian diri
3. Melakukan evaluasi hasil pembinaan
kepribadian.
4. Menyusun laporan perkembangan individu.","KAB. SUMENEP","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","LEMBAGA PEMASYARAKATAN KELAS III ARJASA","1. Menyusun dan melaksanakan program
pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi dan
pengendalian diri
3. Melakukan evaluasi hasil pembinaan
kepribadian.
4. Menyusun laporan perkembangan individu.","KAB. SUMENEP","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","LEMBAGA PEMASYARAKATAN KELAS III ARJASA","1. Menyusun dan melaksanakan program
pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi dan
pengendalian diri
3. Melakukan evaluasi hasil pembinaan
kepribadian.
4. Menyusun laporan perkembangan individu.","KAB. SUMENEP","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kemandirian","LEMBAGA PEMASYARAKATAN KELAS III ARJASA","1. Melatih warga binaan dalam keterampilan kerja
dan kewirausahaan.
2. Menyusun jadwal dan materi pelatihan kerja.
3. Melakukan pendampingan selama praktik
kerja.
4. Mengevaluasi kemampuan dan kesiapan kerja","KAB. SUMENEP","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kemandirian","LEMBAGA PEMASYARAKATAN KELAS III ARJASA","1. Melatih warga binaan dalam keterampilan kerja
dan kewirausahaan.
2. Menyusun jadwal dan materi pelatihan kerja.
3. Melakukan pendampingan selama praktik
kerja.
4. Mengevaluasi kemampuan dan kesiapan kerja","KAB. SUMENEP","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kemandirian","LEMBAGA PEMASYARAKATAN KELAS III ARJASA","1. Melatih warga binaan dalam keterampilan kerja
dan kewirausahaan.
2. Menyusun jadwal dan materi pelatihan kerja.
3. Melakukan pendampingan selama praktik
kerja.
4. Mengevaluasi kemampuan dan kesiapan kerja","KAB. SUMENEP","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kemandirian","LEMBAGA PEMASYARAKATAN KELAS III ARJASA","1. Melatih warga binaan dalam keterampilan kerja
dan kewirausahaan.
2. Menyusun jadwal dan materi pelatihan kerja.
3. Melakukan pendampingan selama praktik
kerja.
4. Mengevaluasi kemampuan dan kesiapan kerja","KAB. SUMENEP","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kemandirian","LEMBAGA PEMASYARAKATAN KELAS III ARJASA","1. Melatih warga binaan dalam keterampilan kerja
dan kewirausahaan.
2. Menyusun jadwal dan materi pelatihan kerja.
3. Melakukan pendampingan selama praktik
kerja.
4. Mengevaluasi kemampuan dan kesiapan kerja","KAB. SUMENEP","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Perawat Kesehatan","LEMBAGA PEMASYARAKATAN KELAS III ARJASA","1. Memberikan perawatan kesehatan umum dan
tindakan medis ringan.
2. Menyusun catatan perkembangan pasien.
3. Menjaga ketersediaan alat medis sederhana.
4. Menyampaikan laporan kepada dokter atau
pimpinan medis.","KAB. SUMENEP","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Apoteker","LEMBAGA PEMASYARAKATAN KELAS III ARJASA","1. Mengelola penyimpanan dan distribusi obat di
unit layanan Kesehatan
2. Menyiapkan obat sesuai resep dokter.
3. Memastikan keamanan dan kedaluwarsa obat
4. Menyusun laporan penggunaan obat secara
berkala.","KAB. SUMENEP","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Juru Bahasa Isyarat","KANIM KELAS II NON TPI PAMEKASAN","1. Menjadi penerjemah bagi pengguna layanan penyandang disabilitas rungu.
2. Membantu komunikasi antara petugas dan Masyarakat
3. Memberikan pelatihan dasar bahasa isyarat bagi pegawai layanan publik.
4. Menjaga kerahasiaan  informasi pengguna  layanan.","KAB. PAMEKASAN","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pengelola BMN","LEMBAGA PEMASYARAKATAN KELAS III ARJASA","1. Mengelola aset dan inventaris milik negara di
unit kerja.
2. Mencatat penerimaan, pemakaian, dan
penghapusan barang.
3. Melakukan inventarisasi berkala.
4. Menyusun laporan aset sesuai ketentuan.","KAB. SUMENEP","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"DOKTER","RUMAH TAHANAN NEGARA KELAS IIB BANGKALAN","1. Memberikan pelayanan kesehatan umum bagi
pegawai atau warga binaan.
2. Melakukan pemeriksaan, diagnosis, dan
pengobatan dasar.
3. Menyusun laporan kesehatan berkala.
4. Menangani kasus darurat medis di lingkungan
kerja","KAB. BANGKALAN","JAWA TIMUR",4,0,400,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"PERAWAT","RUMAH TAHANAN NEGARA KELAS IIB BANGKALAN","1. Memberikan perawatan medis dasar bagi
pegawai dan warga binaan.
2. Membantu dokter dalam tindakan medis
3. Melakukan pencatatan dan pelaporan kondisi
pasien
4. Menjaga kebersihan serta kesiapan ruang
perawatan.","KAB. BANGKALAN","JAWA TIMUR",4,0,400,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"PSIKIATER","RUMAH TAHANAN NEGARA KELAS IIB BANGKALAN","1. Menangani gangguan kesehatan jiwa warga
binaan atau pegawai.
2. Melakukan asesmen psikologis dan terapi.
3. Menyusun laporan perkembangan pasien.
4. Memberikan rekomendasi tindak lanjut
pemulihan.","KAB. BANGKALAN","JAWA TIMUR",4,0,400,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Penelaah Teknis Kebijakan (Unit Pengembangan Usaha)","API Banyuwangi","Bertanggung jawab pada Unit Pengembangan Usaha dengan mengembangkan strategi pemasaran yang efektif yang efektif untuk meningkatkan pendapatan PNBP meliputi identifikasi pasar, mengembangkan kampanye pemasaran, dan menganalisis hasil pemasaran","KAB. BANYUWANGI","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","RUMAH TAHANAN NEGARA KELAS IIB BANGKALAN","1. Menyusun dan melaksanakan program
pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi dan
pengendalian diri
3. Melakukan evaluasi hasil pembinaan
kepribadian.
4. Menyusun laporan perkembangan individu.","KAB. BANGKALAN","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","RUMAH TAHANAN NEGARA KELAS IIB BANGKALAN","1. Menyusun dan melaksanakan program
pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi dan
pengendalian diri
3. Melakukan evaluasi hasil pembinaan
kepribadian.
4. Menyusun laporan perkembangan individu.","KAB. BANGKALAN","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","RUMAH TAHANAN NEGARA KELAS IIB BANGKALAN","1. Menyusun dan melaksanakan program
pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi dan
pengendalian diri
3. Melakukan evaluasi hasil pembinaan
kepribadian.
4. Menyusun laporan perkembangan individu.","KAB. BANGKALAN","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","RUMAH TAHANAN NEGARA KELAS IIB BANGKALAN","1. Menyusun dan melaksanakan program
pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi dan
pengendalian diri
3. Melakukan evaluasi hasil pembinaan
kepribadian.
4. Menyusun laporan perkembangan individu.","KAB. BANGKALAN","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","RUMAH TAHANAN NEGARA KELAS IIB BANGKALAN","1. Menyusun dan melaksanakan program
pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi dan
pengendalian diri
3. Melakukan evaluasi hasil pembinaan
kepribadian.
4. Menyusun laporan perkembangan individu.","KAB. BANGKALAN","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","RUMAH TAHANAN NEGARA KELAS IIB BANGKALAN","1. Menyusun dan melaksanakan program
pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi dan
pengendalian diri
3. Melakukan evaluasi hasil pembinaan
kepribadian.
4. Menyusun laporan perkembangan individu.","KAB. BANGKALAN","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","RUMAH TAHANAN NEGARA KELAS IIB BANGKALAN","1. Menyusun dan melaksanakan program
pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi dan
pengendalian diri
3. Melakukan evaluasi hasil pembinaan
kepribadian.
4. Menyusun laporan perkembangan individu.","KAB. BANGKALAN","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","RUMAH TAHANAN NEGARA KELAS IIB BANGKALAN","1. Menyusun dan melaksanakan program
pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi dan
pengendalian diri
3. Melakukan evaluasi hasil pembinaan
kepribadian.
4. Menyusun laporan perkembangan individu.","KAB. BANGKALAN","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","RUMAH TAHANAN NEGARA KELAS IIB BANGKALAN","1. Melatih warga binaan dalam keterampilan kerja
dan kewirausahaan.
2. Menyusun jadwal dan materi pelatihan kerja.
3. Melakukan pendampingan selama praktik
kerja.
4. Mengevaluasi kemampuan dan kesiapan kerja","KAB. BANGKALAN","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","RUMAH TAHANAN NEGARA KELAS IIB BANGKALAN","1. Melatih warga binaan dalam keterampilan kerja
dan kewirausahaan.
2. Menyusun jadwal dan materi pelatihan kerja.
3. Melakukan pendampingan selama praktik
kerja.
4. Mengevaluasi kemampuan dan kesiapan kerja","KAB. BANGKALAN","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","RUMAH TAHANAN NEGARA KELAS IIB BANGKALAN","1. Melatih warga binaan dalam keterampilan kerja
dan kewirausahaan.
2. Menyusun jadwal dan materi pelatihan kerja.
3. Melakukan pendampingan selama praktik
kerja.
4. Mengevaluasi kemampuan dan kesiapan kerja","KAB. BANGKALAN","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","RUMAH TAHANAN NEGARA KELAS IIB BANGKALAN","1. Melatih warga binaan dalam keterampilan kerja
dan kewirausahaan.
2. Menyusun jadwal dan materi pelatihan kerja.
3. Melakukan pendampingan selama praktik
kerja.
4. Mengevaluasi kemampuan dan kesiapan kerja","KAB. BANGKALAN","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","RUMAH TAHANAN NEGARA KELAS IIB BANGKALAN","1. Melatih warga binaan dalam keterampilan kerja
dan kewirausahaan.
2. Menyusun jadwal dan materi pelatihan kerja.
3. Melakukan pendampingan selama praktik
kerja.
4. Mengevaluasi kemampuan dan kesiapan kerja","KAB. BANGKALAN","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Perawat Kesehatan","RUMAH TAHANAN NEGARA KELAS IIB BANGKALAN","1. Memberikan perawatan kesehatan umum dan
tindakan medis ringan.
2. Menyusun catatan perkembangan pasien.
3. Menjaga ketersediaan alat medis sederhana.
4. Menyampaikan laporan kepada dokter atau
pimpinan medis.","KAB. BANGKALAN","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pengelola Keuangan dan Anggaran","RUMAH TAHANAN NEGARA KELAS IIB BANGKALAN","1. Menyusun rencana kebutuhan anggaran
tahunan.
2. Mengelola pencairan dan pembukuan
keuangan.
3. Membuat laporan pertanggungjawaban
anggaran.
4. Memastikan kepatuhan terhadap aturan
keuangan negara.","KAB. BANGKALAN","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pengelola Fasilitas Umum","RUMAH TAHANAN NEGARA KELAS IIB BANGKALAN","1. Menyiapkan sarana pendukung kegiatan
umum seperti ruang rapat, kendaraan, dan
logistik.
2. Memantau penggunaan fasilitas agar efisien.
3. Mengatur perawatan rutin fasilitas umum.
4. Membantu kebutuhan operasional kantor.","KAB. BANGKALAN","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","RUMAH TAHANAN NEGARA KELAS IIB BANGKALAN","1. Menyusun dan melaksanakan program
pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi dan
pengendalian diri
3. Melakukan evaluasi hasil pembinaan
kepribadian.
4. Menyusun laporan perkembangan individu.","KAB. BANGKALAN","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","RUMAH TAHANAN NEGARA KELAS IIB BANGKALAN","1. Menyusun dan melaksanakan program
pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi dan
pengendalian diri
3. Melakukan evaluasi hasil pembinaan
kepribadian.
4. Menyusun laporan perkembangan individu.","KAB. BANGKALAN","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Apoteker","RUMAH TAHANAN NEGARA KELAS IIB BANGKALAN","1. Mengelola penyimpanan dan distribusi obat di
unit layanan Kesehatan
2. Menyiapkan obat sesuai resep dokter.
3. Memastikan keamanan dan kedaluwarsa obat
4. Menyusun laporan penggunaan obat secara
berkala","KAB. BANGKALAN","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Dokter","LEMBAGA PEMASYARAKATAN KELAS IIB MOJOKERTO","1. Memberikan Pelayanan Kesehatan umum bagi pegawai atau warga binaan
2. Melakukan Pemeriksaan, diagnosis, pengobatan dasar
3.menyusun laporan kesehatan berkala","KOTA MOJOKERTO","JAWA TIMUR",4,0,400,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Asisten Content Creator & Digital Strategist (Creative Hub)","Innovation Union For Global Strategic And Kubara Research","1. Mengembangkan ide dan konsep konten kreatif (teks, visual, video pendek) untuk platform media sosial Yayasan (Instagram, TikTok, YouTube).


2. Mengelola kalender konten dan jadwal posting harian/mingguan.


3. Menganalisis metrik konten (reach, engagement, conversion) dan memberikan laporan berkala.


4. Membantu dokumentasi kegiatan inkubasi  dan riset strategis menjadi cerita yang menarik bagi audiens umum.","KAB. MAGETAN","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"perawat pelaksana","Masjid Jami Nahdlatul Ulama Trawasan","perawat jaga poli klinik perusahaan : melaksanakan kegiatan klinis melayani pemeriksaan pasien di poli perusahaan 
perawat hiperkes : lebih di sukai bila memiliki sertifikat hiperkes 
- perawat dapat melakukan dan menguasai BHD 
- perwat akupuntur
- perawat mampu melakukan rawat luka dan tindakan dan merujuk bnila terjadi kecelakaan 
- mampu melakukan hecting pada luka 
- melakukuan pemeriksaan dasar dan melaksankan theraphy berdasarkan advoice dari dokter","KAB. JOMBANG","JAWA TIMUR",10,0,1000,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Dokter","LEMBAGA PEMASYARAKATAN KELAS I MADIUN","1. Memberikan pelayanan kesehatan umum bagi pegawai atau warga binaan;
2. Melakukan pemeriksaan, diagnosis, dan pengobatan dasar;
3. Menyusun laporan kesehatan berkala;
4. Menangani kasus darurat medis di lingkungan kerja.","KOTA MADIUN","JAWA TIMUR",4,0,400,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Perawat","LEMBAGA PEMASYARAKATAN KELAS I MADIUN","1. Memberikan perawatan medis dasar bagi pegawai dan warga binaan;
2. Membantu dokter dalam tindakan medis;
3. Melakukan pencatatan dan pelaporan kondisi pasien;
4. Menjaga kebersihan serta kesiapan ruang perawatan.","KOTA MADIUN","JAWA TIMUR",4,0,400,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Psikiater","LEMBAGA PEMASYARAKATAN KELAS I MADIUN","1. Menangani gangguan kesehatan jiwa warga binaan atau pegawai;
2. Melakukan asesmen psikologis dan terapi;
3. Menyusun laporan perkembangan pasien;
4. Memberikan rekomendasi tindak lanjut pemulihan.","KOTA MADIUN","JAWA TIMUR",4,0,400,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Perawat Kesehatan","LEMBAGA PEMASYARAKATAN KELAS I MADIUN","1. Memberikan perawatan kesehatan umum dan tindakan medis ringan;
2. Menyusun catatan perkembangan pasien;
3. Menjaga ketersediaan alat medis sederhana;
4. Menyampaikan laporan kepada dokter atau pimpinan medis.","KOTA MADIUN","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Apoteker","LEMBAGA PEMASYARAKATAN KELAS I MADIUN","1. Mengelola penyimpanan dan distribusi obat di unit layanan Kesehatan;
2. Menyiapkan obat sesuai resep dokter;
3. Memastikan keamanan dan kedaluwarsa obat;
4. Menyusun laporan penggunaan obat secara berkala.","KOTA MADIUN","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Content Creator","Ani Yunus","1. Membuat konten foto, video, dan teks untuk mempromosikan properti (rumah, apartemen, ruko).
2. Melakukan pengambilan gambar properti di lokasi (shooting interior & exterior).
3. Mengedit konten untuk kebutuhan media sosial dan platform pemasaran.
4. Menyusun caption, copywriting, dan ide konten yang menarik dan informatif.","KOTA MALANG","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Purchasing","Suka Jari Ibu","- Menerima permintaan pembelian (Opex maupun Capex) dari setiap unit.
- Melakukan proses pembelian yang dibutuhkan oleh unit kepada suppplier yang telah ditentukan atau pihak yang terkait sesuai dengan kebutuhan.
- Membantu membuatkan tanda terima (TT) untuk supplier.
- Membantu melakukan identifikasi dan quality control (QC) terhadap barang yang di kirim oleh supplier.
- Membantu melakukan aktivitas stock opname terhadap barang di gudang penyimpanan.
- Membantu menyiapkan barang yang akan di kirim ke unit internal sesuai dengan jadwal pengiriman yang sudah di tentukan.
- Membantu melakukan aktivitas inputan pembelian ke sistem.","KAB. MALANG","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"IT Development","Pelayaran Nasional Ekalya Purnamasari","- Berpartisipasi dalam pengembangan project IT sesuai permintaan dan kebutuhan user internal perusahaan.
- Membantu proses maintenance, debugging, serta pengujian fitur pada aplikasi yang sedang dikembangkan.
- Mendukung tim dalam penyusunan dokumentasi teknis, seperti alur sistem, pembaruan fitur, dan panduan penggunaan.
- Berkoordinasi dengan mentor dan tim IT untuk memastikan implementasi berjalan sesuai standar dan target yang ditetapkan.","KOTA SURABAYA","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","RUMAH TAHANAN NEGARA PEREMPUAN KELAS IIA SURABAYA","Melatih keterampilan warga binaan dalam hal keolahragaan dan aktivitas fisik.","KAB. SIDOARJO","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Psikiater","LEMBAGA PEMASYARAKATAN NARKOTIKA KELAS IIA PAMEKASAN","1.	Menangani gangguan kesehatan jiwa warga binaan atau pegawai.
2. Melakukan asesmen psikologis dan terapi.
3. Menyusun laporan perkembangan pasien. 
4. Memberikan rekomendasi tindak lanjut pemulihan","KAB. PAMEKASAN","JAWA TIMUR",4,0,400,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","LEMBAGA PEMASYARAKATAN NARKOTIKA KELAS IIA PAMEKASAN","1. Menyusun dan melaksanakan program pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi	dan pengendalian diri
3. Melakukan evaluasi hasil pembinaan kepribadian.
4. Menyusun laporan perkembangan individu.","KAB. PAMEKASAN","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Dokter","RUMAH TAHANAN NEGARA KELAS IIB MAGETAN","1.  Memberikan pelayanan kesehatan umum bagi pegawai atau warga binaan.
2. Melakukan pemeriksaan, diagnosis, dan pengobatan dasar.
3. Menyusun laporan kesehatan berkala.
4. Menangani kasus darurat medis di lingkungan kerja.","KAB. MAGETAN","JAWA TIMUR",4,0,400,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Webmaster","Language Center","Webmaster memiliki tanggung jawab untuk mendukung pengelolaan dan pemeliharaan situs web perusahaan agar tetap berfungsi dengan optimal, informatif, dan sesuai dengan standar identitas perusahaan.
Lingkup tugas meliputi:
1.	Melaksanakan pembaruan dan pengelolaan konten pada website perusahaan.
2.	Melakukan pemeriksaan dan perbaikan teknis dasar untuk menjaga stabilitas dan keamanan situs.
3.	Membantu kegiatan optimasi tampilan, struktur, dan performa website.
4.	Melakukan analisis sederhana terhadap trafik dan aktivitas pengunjung situs.
5.	Mendukung pengembangan fitur tambahan serta integrasi sistem digital perusahaan.
6.	Berkoordinasi dengan tim terkait dalam pelaksanaan pembaruan dan pengembangan konten digital.
7.	Menyusun laporan kegiatan dan melaporkan progres secara berkala kepada pembimbing magang.","KAB. KEDIRI","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Perawat","RUMAH TAHANAN NEGARA KELAS IIB MAGETAN","1.	Memberikan perawatan medis dasar bagi pegawai dan warga binaan.
2.	Membantu dokter dalam tindakan medis
3.	Melakukan pencatatan dan pelaporan kondisi pasien
4.	Menjaga kebersihan serta kesiapan ruang perawatan.","KAB. MAGETAN","JAWA TIMUR",4,0,400,"2025-11-06 00:00:00","2025-11-14 23:59:59"
